"chart_position","chart_date","song","performer","song_id"
97,2016-02-20,"Jam","Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx","JamKevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx"
83,2016-02-27,"Die A Happy Man","Nelly","Die A Happy ManNelly"
67,2016-02-27,"Fly S**t Only","Future","Fly S**t OnlyFuture"
94,2016-02-27,"Whisper","Chase Rice","WhisperChase Rice"
77,2016-03-05,"All I Ask","Adele","All I AskAdele"
87,2016-03-12,"Look At My Dab","Migos","Look At My DabMigos"
79,2016-03-19,"Hello Friday","Flo Rida Featuring Jason Derulo","Hello FridayFlo Rida Featuring Jason Derulo"
59,2016-03-19,"It's You","Zayn","It's YouZayn"
95,2016-03-19,"Til It Happens To You","Lady Gaga","Til It Happens To YouLady Gaga"
100,2016-03-26,"Gotta Lotta","2 Chainz Featuring Lil Wayne","Gotta Lotta2 Chainz Featuring Lil Wayne"
79,2016-03-26,"Untitled 02 l 06.23.2014.","Kendrick Lamar","Untitled 02 l 06.23.2014.Kendrick Lamar"
90,2016-03-26,"Untitled 07 l Levitate","Kendrick Lamar","Untitled 07 l LevitateKendrick Lamar"
43,2016-04-09,"Be Alright","Ariana Grande","Be AlrightAriana Grande"
93,2016-04-16,"Digits","Young Thug","DigitsYoung Thug"
87,2016-04-16,"With Them","Young Thug","With ThemYoung Thug"
84,2016-04-23,"FML","Kanye West","FMLKanye West"
99,2016-04-23,"Feedback","Kanye West","FeedbackKanye West"
92,2016-04-23,"Real Friends","Kanye West","Real FriendsKanye West"
99,2016-05-07,"Let Me Love You","Ariana Grande Featuring Lil Wayne","Let Me Love YouAriana Grande Featuring Lil Wayne"
63,2016-05-14,"Forward","Beyonce Featuring James Blake","ForwardBeyonce Featuring James Blake"
74,2016-05-21,"True Colors","Zedd & Kesha","True ColorsZedd & Kesha"
86,2016-05-21,"Views","Drake","ViewsDrake"
70,2016-05-28,"Go Ahead And Break My Heart","Blake Shelton Featuring Gwen Stefani","Go Ahead And Break My HeartBlake Shelton Featuring Gwen Stefani"
93,2016-06-04,"Blessings","Chance The Rapper Featuring Ty Dolla $ign","BlessingsChance The Rapper Featuring Ty Dolla $ign"
94,2016-06-04,"I'm Sorry","Adam Wakefield","I'm SorryAdam Wakefield"
100,2016-06-11,"Down That Road","Alisan Porter","Down That RoadAlisan Porter"
94,2016-06-11,"Every Breath You Take","Hannah Huston","Every Breath You TakeHannah Huston"
73,2016-06-11,"Lonesome Broken And Blue","Adam Wakefield","Lonesome Broken And BlueAdam Wakefield"
75,2016-06-25,"Nothing Is Promised","Mike WiLL Made-It x Rihanna","Nothing Is PromisedMike WiLL Made-It x Rihanna"
90,2016-07-02,"Sweatshirt","Jacob Sartorius","SweatshirtJacob Sartorius"
88,2016-07-09,"Ain't No Stopping Us Now","Kane Brown","Ain't No Stopping Us NowKane Brown"
86,2016-07-09,"What The World Needs Now Is Love","Broadway For Orlando","What The World Needs Now Is LoveBroadway For Orlando"
100,2016-07-23,"Flexicution","Logic","FlexicutionLogic"
95,2016-07-30,"La Bicicleta","Carlos Vives & Shakira","La BicicletaCarlos Vives & Shakira"
72,2016-07-30,"Love Make The World Go Round","Jennifer Lopez & Lin-Manuel Miranda","Love Make The World Go RoundJennifer Lopez & Lin-Manuel Miranda"
84,2016-08-06,"Body Say","Demi Lovato","Body SayDemi Lovato"
68,2016-08-06,"Girls Talk Boys","5 Seconds Of Summer","Girls Talk Boys5 Seconds Of Summer"
81,2016-08-13,"Back On Road","Gucci Mane & Drake","Back On RoadGucci Mane & Drake"
89,2016-08-13,"P**** Print","Gucci Mane Featuring Kanye West","P**** PrintGucci Mane Featuring Kanye West"
84,2016-08-20,"Holy Key","DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright","Holy KeyDJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright"
64,2016-08-27,"Bohemian Rhapsody","Panic! At The Disco","Bohemian RhapsodyPanic! At The Disco"
80,2016-09-10,"Ivy","Frank Ocean","IvyFrank Ocean"
98,2016-09-10,"Nights","Frank Ocean","NightsFrank Ocean"
79,2016-09-10,"Nikes","Frank Ocean","NikesFrank Ocean"
84,2016-09-10,"Pink + White","Frank Ocean","Pink + WhiteFrank Ocean"
96,2016-09-10,"Solo","Frank Ocean","SoloFrank Ocean"
87,2016-09-17,"Wyclef Jean","Young Thug","Wyclef JeanYoung Thug"
91,2016-10-08,"Cancer","twenty one pilots","Cancertwenty one pilots"
91,2016-10-22,"Don't Touch My Hair","Solange Featuring Sampha","Don't Touch My HairSolange Featuring Sampha"
94,2016-10-22,"LIFTED","CL","LIFTEDCL"
96,2016-10-29,"Kids","OneRepublic","KidsOneRepublic"
72,2016-11-05,"Blow Your Mind (Mwah)","Dua Lipa","Blow Your Mind (Mwah)Dua Lipa"
66,2016-11-12,"A-YO","Lady Gaga","A-YOLady Gaga"
97,2016-11-19,"Blessed Up","Meek Mill","Blessed UpMeek Mill"
93,2016-11-19,"Blue Notes","Meek Mill","Blue NotesMeek Mill"
68,2016-11-19,"Froze","Meek Mill Featuring Lil Uzi Vert & Nicki Minaj","FrozeMeek Mill Featuring Lil Uzi Vert & Nicki Minaj"
70,2016-11-19,"Offended","Meek Mill Featuring Young Thug & 21 Savage","OffendedMeek Mill Featuring Young Thug & 21 Savage"
75,2016-11-19,"On The Regular","Meek Mill","On The RegularMeek Mill"
84,2016-11-19,"The Difference","Meek Mill Featuring Quavo","The DifferenceMeek Mill Featuring Quavo"
73,2016-11-19,"Two Birds, One Stone","Drake","Two Birds, One StoneDrake"
59,2016-12-03,"Hallelujah","Leonard Cohen","HallelujahLeonard Cohen"
77,2016-12-03,"We The People....","A Tribe Called Quest","We The People....A Tribe Called Quest"
97,2016-12-10,"Infinite","Eminem","InfiniteEminem"
86,2016-12-10,"Slumber Party","Britney Spears Featuring Tinashe","Slumber PartyBritney Spears Featuring Tinashe"
69,2016-12-17,"A Lonely Night","The Weeknd","A Lonely NightThe Weeknd"
85,2016-12-17,"Distraction","Kehlani","DistractionKehlani"
71,2016-12-17,"Love To Lay","The Weeknd","Love To LayThe Weeknd"
68,2016-12-17,"Nothing Without You","The Weeknd","Nothing Without YouThe Weeknd"
61,2016-12-17,"Stargirl Interlude","The Weeknd Featuring Lana Del Rey","Stargirl InterludeThe Weeknd Featuring Lana Del Rey"
76,2016-12-24,"Home","gnash Featuring Johnny Yukon","Homegnash Featuring Johnny Yukon"
29,2016-12-31,"4 Your Eyez Only","J. Cole","4 Your Eyez OnlyJ. Cole"
89,2016-12-31,"At Last","Sundance Head","At LastSundance Head"
67,2016-12-31,"Darlin' Don't Go","Sundance Head","Darlin' Don't GoSundance Head"
57,2016-12-31,"Everybody Dies","J. Cole","Everybody DiesJ. Cole"
34,2016-12-31,"She's Mine Pt. 2","J. Cole","She's Mine Pt. 2J. Cole"
99,2017-01-14,"Hate U Love U","Olivia O'Brien","Hate U Love UOlivia O'Brien"
95,2017-01-14,"No Flockin","Kodak Black","No FlockinKodak Black"
89,2017-01-28,"Drinkin' Too Much","Sam Hunt","Drinkin' Too MuchSam Hunt"
77,2017-02-04,"Not Afraid Anymore","Halsey","Not Afraid AnymoreHalsey"
100,2017-02-11,"Running Back","Wale Featuring Lil Wayne","Running BackWale Featuring Lil Wayne"
62,2017-02-18,"Call Casting","Migos","Call CastingMigos"
93,2017-02-18,"Culture","Migos Featuring DJ Khaled","CultureMigos Featuring DJ Khaled"
72,2017-02-18,"Get Right Witcha","Migos","Get Right WitchaMigos"
71,2017-02-18,"I'm Better","Missy Elliott Featuring Lamb","I'm BetterMissy Elliott Featuring Lamb"
66,2017-02-18,"Run Up","Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj","Run UpMajor Lazer Featuring PARTYNEXTDOOR & Nicki Minaj"
87,2017-02-25,"Beauty And The Beast","Ariana Grande & John Legend","Beauty And The BeastAriana Grande & John Legend"
74,2017-02-25,"Halfway Off The Balcony","Big Sean","Halfway Off The BalconyBig Sean"
89,2017-02-25,"I Don't","Mariah Carey Featuring YG","I Don'tMariah Carey Featuring YG"
76,2017-02-25,"Jump Out The Window","Big Sean","Jump Out The WindowBig Sean"
97,2017-02-25,"Light","Big Sean Featuring Jeremih","LightBig Sean Featuring Jeremih"
93,2017-02-25,"Now & Later","Sage The Gemini","Now & LaterSage The Gemini"
86,2017-02-25,"Owe Me","Big Sean","Owe MeBig Sean"
70,2017-02-25,"Sacrifices","Big Sean Featuring Migos","SacrificesBig Sean Featuring Migos"
54,2017-03-04,"Bom Bidi Bom","Nick Jonas & Nicki Minaj","Bom Bidi BomNick Jonas & Nicki Minaj"
84,2017-03-04,"Everything 1K","Kodak Black","Everything 1KKodak Black"
71,2017-03-04,"Helium","Sia","HeliumSia"
77,2017-03-04,"Heroe Favorito","Romeo Santos","Heroe FavoritoRomeo Santos"
54,2017-03-11,"Rent Money","Future","Rent MoneyFuture"
91,2017-03-11,"Super Trapper","Future","Super TrapperFuture"
99,2017-03-11,"Zoom","Future","ZoomFuture"
78,2017-03-18,"Make Love","Gucci Mane & Nicki Minaj","Make LoveGucci Mane & Nicki Minaj"
96,2017-03-25,"Barcelona","Ed Sheeran","BarcelonaEd Sheeran"
90,2017-03-25,"Eraser","Ed Sheeran","EraserEd Sheeran"
93,2017-03-25,"Hearts Don't Break Around Here","Ed Sheeran","Hearts Don't Break Around HereEd Sheeran"
72,2017-03-25,"New Man","Ed Sheeran","New ManEd Sheeran"
75,2017-03-25,"Supermarket Flowers","Ed Sheeran","Supermarket FlowersEd Sheeran"
83,2017-03-25,"What Do I Know?","Ed Sheeran","What Do I Know?Ed Sheeran"
72,2017-04-01,"Chanel","Frank Ocean","ChanelFrank Ocean"
71,2017-04-01,"Changed It","Nicki Minaj & Lil Wayne","Changed ItNicki Minaj & Lil Wayne"
78,2017-04-01,"Liability","Lorde","LiabilityLorde"
61,2017-04-01,"Regret In Your Tears","Nicki Minaj","Regret In Your TearsNicki Minaj"
64,2017-04-08,"Lose You","Drake","Lose YouDrake"
70,2017-04-08,"Since Way Back","Drake Featuring PARTYNEXTDOOR","Since Way BackDrake Featuring PARTYNEXTDOOR"
76,2017-04-08,"Skepta Interlude","Drake","Skepta InterludeDrake"
97,2017-04-08,"Trap Trap Trap","Rick Ross Featuring Young Thug & Wale","Trap Trap TrapRick Ross Featuring Young Thug & Wale"
93,2017-04-22,"Conscience","Kodak Black Featuring Future","ConscienceKodak Black Featuring Future"
96,2017-04-22,"Heatstroke","Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande","HeatstrokeCalvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande"
75,2017-04-22,"Tin Man","Miranda Lambert","Tin ManMiranda Lambert"
92,2017-04-29,"Bar At The End Of The World","Kenny Chesney","Bar At The End Of The WorldKenny Chesney"
87,2017-05-06,"Black SpiderMan","Logic Featuring Damian Lemar Hudson","Black SpiderManLogic Featuring Damian Lemar Hudson"
54,2017-05-06,"Blood.","Kendrick Lamar","Blood.Kendrick Lamar"
63,2017-05-06,"Duckworth.","Kendrick Lamar","Duckworth.Kendrick Lamar"
90,2017-05-13,"Hard Times","Paramore","Hard TimesParamore"
64,2017-05-13,"Lust For Life","Lana Del Rey Featuring The Weeknd","Lust For LifeLana Del Rey Featuring The Weeknd"
67,2017-05-20,"First Time","Kygo & Ellie Goulding","First TimeKygo & Ellie Goulding"
93,2017-05-20,"Sweet Creature","Harry Styles","Sweet CreatureHarry Styles"
98,2017-06-03,"Ghost In This House","Lauren Duski","Ghost In This HouseLauren Duski"
94,2017-06-10,"Boy","Lee Brice","BoyLee Brice"
43,2017-06-10,"Deja Vu","Lauren Duski","Deja VuLauren Duski"
66,2017-06-10,"Money On You","Chris Blue","Money On YouChris Blue"
92,2017-06-10,"The Dance","Lauren Duski","The DanceLauren Duski"
89,2017-06-17,"Don't Get Too High","Bryson Tiller","Don't Get Too HighBryson Tiller"
98,2017-06-17,"No Longer Friends","Bryson Tiller","No Longer FriendsBryson Tiller"
91,2017-06-17,"Run Me Dry","Bryson Tiller","Run Me DryBryson Tiller"
85,2017-06-17,"Self-Made","Bryson Tiller","Self-MadeBryson Tiller"
74,2017-06-17,"Somethin Tells Me","Bryson Tiller","Somethin Tells MeBryson Tiller"
100,2017-06-17,"Strangers","Halsey Featuring Lauren Jauregui","StrangersHalsey Featuring Lauren Jauregui"
94,2017-06-17,"There For You","Martin Garrix x Troye Sivan","There For YouMartin Garrix x Troye Sivan"
61,2017-07-08,"First Day Out","Kodak Black","First Day OutKodak Black"
100,2017-07-08,"Real Hitta","Plies Featuring Kodak Black","Real HittaPlies Featuring Kodak Black"
68,2017-07-15,"Don't Quit","DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih","Don't QuitDJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih"
88,2017-07-15,"On Everything","DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean","On EverythingDJ Khaled Featuring Travis Scott, Rick Ross & Big Sean"
99,2017-07-22,"Extra Luv","Future Featuring YG","Extra LuvFuture Featuring YG"
87,2017-07-22,"Who Dat Boy","Tyler, The Creator","Who Dat BoyTyler, The Creator"
47,2017-07-29,"Bam","JAY-Z Featuring Damian ""Jr. Gong"" Marely","BamJAY-Z Featuring Damian ""Jr. Gong"" Marely"
63,2017-07-29,"Caught Their Eyes","JAY-Z Featuring Frank Ocean","Caught Their EyesJAY-Z Featuring Frank Ocean"
51,2017-07-29,"Family Feud","JAY-Z Featuring Beyonce","Family FeudJAY-Z Featuring Beyonce"
94,2017-07-29,"Famous","21 Savage","Famous21 Savage"
91,2017-07-29,"Get Low","Zedd & Liam Payne","Get LowZedd & Liam Payne"
55,2017-07-29,"Kill Jay Z","JAY-Z","Kill Jay ZJAY-Z"
90,2017-07-29,"Marcy Me","JAY-Z","Marcy MeJAY-Z"
86,2017-07-29,"Moonlight","JAY-Z","MoonlightJAY-Z"
56,2017-07-29,"Smile","JAY-Z Featuring Gloria Carter","SmileJAY-Z Featuring Gloria Carter"
75,2017-08-05,"A Lie","French Montana Featuring The Weeknd & Max B","A LieFrench Montana Featuring The Weeknd & Max B"
86,2017-08-05,"Jerika","Jake Paul & Erika Costell Featuring Uncle Kade","JerikaJake Paul & Erika Costell Featuring Uncle Kade"
96,2017-08-05,"Woman","Kesha Featuring The Dap-Kings Horns","WomanKesha Featuring The Dap-Kings Horns"
83,2017-08-12,"1942 Flows","Meek Mill","1942 FlowsMeek Mill"
97,2017-08-12,"F**k That Check Up","Meek Mill Featuring Lil Uzi Vert","F**k That Check UpMeek Mill Featuring Lil Uzi Vert"
99,2017-08-12,"Heavy Heart","Meek Mill","Heavy HeartMeek Mill"
91,2017-08-12,"Imitadora","Romeo Santos","ImitadoraRomeo Santos"
77,2017-08-12,"Issues","Meek Mill","IssuesMeek Mill"
96,2017-08-12,"We Ball","Meek Mill Featuring Young Thug","We BallMeek Mill Featuring Young Thug"
79,2017-08-12,"Wins & Losses","Meek Mill","Wins & LossesMeek Mill"
97,2017-08-19,"Learn To Let Go","Kesha","Learn To Let GoKesha"
95,2017-08-26,"Chillin' Like A Villain","Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope","Chillin' Like A VillainSofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope"
81,2017-08-26,"OMG","Camila Cabello Featuring Quavo","OMGCamila Cabello Featuring Quavo"
92,2017-09-02,"Something New","Wiz Khalifa Featuring Ty Dolla $ign","Something NewWiz Khalifa Featuring Ty Dolla $ign"
80,2017-09-09,"Its Every Night Sis","RiceGum Featuring Alissa Violet","Its Every Night SisRiceGum Featuring Alissa Violet"
79,2017-09-09,"Younger Now","Miley Cyrus","Younger NowMiley Cyrus"
95,2017-09-16,"Carry On","XXXTentacion","Carry OnXXXTentacion"
91,2017-09-16,"Depression & Obsession","XXXTentacion","Depression & ObsessionXXXTentacion"
82,2017-09-16,"For Real","Lil Uzi Vert","For RealLil Uzi Vert"
90,2017-09-16,"No Sleep Leak","Lil Uzi Vert","No Sleep LeakLil Uzi Vert"
94,2017-09-16,"Save Me","XXXTentacion","Save MeXXXTentacion"
80,2017-09-16,"Two","Lil Uzi Vert","TwoLil Uzi Vert"
84,2017-09-16,"UnFazed","Lil Uzi Vert Featuring The Weeknd","UnFazedLil Uzi Vert Featuring The Weeknd"
100,2017-09-23,"No Fear","DeJ Loaf","No FearDeJ Loaf"
80,2017-09-30,"Found You","Kane Brown","Found YouKane Brown"
92,2017-10-07,"Homemade Dynamite","Lorde Featuring Khalid, Post Malone & SZA","Homemade DynamiteLorde Featuring Khalid, Post Malone & SZA"
86,2017-10-21,"Beast Mode","A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast ModeA Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again"
68,2017-10-21,"Hi Bich","Bhad Bhabie","Hi BichBhad Bhabie"
84,2017-10-21,"Undefeated","A Boogie Wit da Hoodie Featuring 21 Savage","UndefeatedA Boogie Wit da Hoodie Featuring 21 Savage"
20,2017-10-28,"Almost Like Praying","Lin-Manuel Miranda Featuring Artists For Puerto Rico","Almost Like PrayingLin-Manuel Miranda Featuring Artists For Puerto Rico"
91,2017-10-28,"Dear Hate","Maren Morris Featuring Vince Gill","Dear HateMaren Morris Featuring Vince Gill"
55,2017-10-28,"Pray","Sam Smith","PraySam Smith"
97,2017-10-28,"Too Hotty","Quality Control Featuring Quavo, Takeoff & Offset","Too HottyQuality Control Featuring Quavo, Takeoff & Offset"
95,2017-11-04,"Stunting Ain't Nuthin","Gucci Mane Featuring Slim Jxmmi & Young Dolph","Stunting Ain't NuthinGucci Mane Featuring Slim Jxmmi & Young Dolph"
92,2017-11-11,"4 Da Gang","Future","4 Da GangFuture"
77,2017-11-11,"All Da Smoke","Future & Young Thug","All Da SmokeFuture & Young Thug"
98,2017-11-11,"Bedroom Floor","Liam Payne","Bedroom FloorLiam Payne"
68,2017-11-11,"Feed Me Dope","Future","Feed Me DopeFuture"
62,2017-11-11,"No Cap","Future & Young Thug","No CapFuture & Young Thug"
100,2017-11-11,"Three","Future & Young Thug","ThreeFuture & Young Thug"
99,2017-11-25,"Mad Stalkers","21 Savage, Offset & Metro Boomin","Mad Stalkers21 Savage, Offset & Metro Boomin"
100,2017-11-25,"Nightmare","Offset & Metro Boomin","NightmareOffset & Metro Boomin"
82,2017-11-25,"Pray","Sam Smith Featuring Logic","PraySam Smith Featuring Logic"
96,2017-12-02,"The Plan","G-Eazy","The PlanG-Eazy"
79,2017-12-09,"Awful Things","Lil Peep","Awful ThingsLil Peep"
98,2017-12-09,"The Rest Of Our Life","Tim McGraw & Faith Hill","The Rest Of Our LifeTim McGraw & Faith Hill"
100,2017-12-16,"Perro Fiel","Shakira Featuring Nicky Jam","Perro FielShakira Featuring Nicky Jam"
99,2017-12-16,"Total Eclipse Of The Heart","Chloe Kohanski","Total Eclipse Of The HeartChloe Kohanski"
95,2017-12-23,"Bella y Sensual","Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y SensualRomeo Santos Featuring Nicky Jam & Daddy Yankee"
82,2017-12-30,"Danger","Migos & Marshmello","DangerMigos & Marshmello"
67,2017-12-30,"Go Legend","Big Sean & Metro Boomin Featuring Travis Scott","Go LegendBig Sean & Metro Boomin Featuring Travis Scott"
86,2017-12-30,"Untouchable","Eminem","UntouchableEminem"
71,2018-01-06,"Black & Chinese","Huncho Jack","Black & ChineseHuncho Jack"
83,2018-01-06,"Dubai Shit","Huncho Jack Featuring Offset","Dubai ShitHuncho Jack Featuring Offset"
65,2018-01-06,"Eye 2 Eye","Huncho Jack Featuring Takeoff","Eye 2 EyeHuncho Jack Featuring Takeoff"
87,2018-01-06,"Huncho Jack","Huncho Jack","Huncho JackHuncho Jack"
68,2018-01-06,"Modern Slavery","Huncho Jack","Modern SlaveryHuncho Jack"
90,2018-01-06,"Motorcycle Patches","Huncho Jack","Motorcycle PatchesHuncho Jack"
92,2018-01-06,"Saint","Huncho Jack","SaintHuncho Jack"
69,2018-01-06,"Thunder/Young Dumb & Broke (Medley)","Imagine Dragons + Khalid","Thunder/Young Dumb & Broke (Medley)Imagine Dragons + Khalid"
92,2018-01-20,"I Miss You","Clean Bandit Featuring Julia Michaels","I Miss YouClean Bandit Featuring Julia Michaels"
98,2018-01-27,"El Bano","Enrique Iglesias Featuring Bad Bunny","El BanoEnrique Iglesias Featuring Bad Bunny"
80,2018-01-27,"My My My!","Troye Sivan","My My My!Troye Sivan"
82,2018-02-03,"No Name","NF","No NameNF"
85,2018-02-10,"Auto Pilot","Migos","Auto PilotMigos"
96,2018-02-10,"CC","Migos Featuring Gucci Mane","CCMigos Featuring Gucci Mane"
87,2018-02-10,"Emoji A Chain","Migos","Emoji A ChainMigos"
73,2018-02-10,"Gang Gang","Migos","Gang GangMigos"
83,2018-02-10,"Higher We Go (Intro)","Migos","Higher We Go (Intro)Migos"
53,2018-02-10,"Supastars","Migos","SupastarsMigos"
64,2018-02-10,"White Sand","Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean","White SandMigos Featuring Travis Scott, Ty Dolla $ign & Big Sean"
98,2018-02-17,"A Girl Like You","Easton Corbin","A Girl Like YouEaston Corbin"
73,2018-02-17,"Man Of The Woods","Justin Timberlake","Man Of The WoodsJustin Timberlake"
91,2018-02-24,"Black Panther","Kendrick Lamar","Black PantherKendrick Lamar"
99,2018-03-10,"Make Me Feel","Janelle Monae","Make Me FeelJanelle Monae"
73,2018-03-10,"RONDO","6ix9ine Featuring Tory Lanez & Young Thug","RONDO6ix9ine Featuring Tory Lanez & Young Thug"
61,2018-03-10,"Want You Back","5 Seconds Of Summer","Want You Back5 Seconds Of Summer"
91,2018-03-17,"Stranger Things","Joyner Lucas & Chris Brown","Stranger ThingsJoyner Lucas & Chris Brown"
73,2018-03-24,"66","Lil Yachty Featuring Trippie Redd","66Lil Yachty Featuring Trippie Redd"
88,2018-03-24,"Boom!","Lil Yachty Featuring Ugly God","Boom!Lil Yachty Featuring Ugly God"
97,2018-03-24,"BoomTrap Protocol","Logic","BoomTrap ProtocolLogic"
60,2018-03-24,"Contra","Logic","ContraLogic"
56,2018-03-24,"Indica Badu","Logic Featuring Wiz Khalifa","Indica BaduLogic Featuring Wiz Khalifa"
74,2018-03-24,"Midnight","Logic","MidnightLogic"
68,2018-03-24,"Overnight","Logic","OvernightLogic"
98,2018-03-24,"Warm It Up","Logic Featuring Young Sinatra","Warm It UpLogic Featuring Young Sinatra"
83,2018-03-24,"Wassup","Logic Featuring Big Sean","WassupLogic Featuring Big Sean"
87,2018-03-24,"Yuck","Logic","YuckLogic"
100,2018-03-31,"Everybody Hates Me","The Chainsmokers","Everybody Hates MeThe Chainsmokers"
49,2018-03-31,"Found / Tonight","Lin-Manuel Miranda & Ben Platt","Found / TonightLin-Manuel Miranda & Ben Platt"
95,2018-03-31,"Going Down!","XXXTENTACION","Going Down!XXXTENTACION"
83,2018-03-31,"Infinity (888)","XXXTENTACION Featuring Joey Bada$$","Infinity (888)XXXTENTACION Featuring Joey Bada$$"
100,2018-04-14,"Focus","H.E.R.","FocusH.E.R."
43,2018-04-14,"Hurt You","The Weeknd Featuring Gesaffelstein","Hurt YouThe Weeknd Featuring Gesaffelstein"
35,2018-04-14,"I Was Never There","The Weeknd Featuring Gesaffelstein","I Was Never ThereThe Weeknd Featuring Gesaffelstein"
89,2018-04-14,"OKRA","Tyler, The Creator","OKRATyler, The Creator"
52,2018-04-14,"Privilege","The Weeknd","PrivilegeThe Weeknd"
89,2018-04-28,"Anybody","Young Thug Featuring Nicki Minaj","AnybodyYoung Thug Featuring Nicki Minaj"
99,2018-04-28,"Gotti","6ix9ine","Gotti6ix9ine"
84,2018-04-28,"Guatemala","Swae Lee Featuring Slim Jxmmi","GuatemalaSwae Lee Featuring Slim Jxmmi"
73,2018-04-28,"Let Me","Zayn","Let MeZayn"
30,2018-05-05,"Brackets","J. Cole","BracketsJ. Cole"
98,2018-05-05,"Close","Rae Sremmurd & Travis Scott","CloseRae Sremmurd & Travis Scott"
46,2018-05-05,"Friends","J. Cole Featuring kiLL edward","FriendsJ. Cole Featuring kiLL edward"
53,2018-05-05,"Intro","J. Cole","IntroJ. Cole"
47,2018-05-05,"Once An Addict (Interlude)","J. Cole","Once An Addict (Interlude)J. Cole"
28,2018-05-05,"The Cut Off","J. Cole Featuring kiLL edward","The Cut OffJ. Cole Featuring kiLL edward"
41,2018-05-05,"Window Pain (Outro)","J. Cole","Window Pain (Outro)J. Cole"
73,2018-05-12,"Jonestown (Interlude)","Post Malone","Jonestown (Interlude)Post Malone"
57,2018-05-12,"Sugar Wraith","Post Malone","Sugar WraithPost Malone"
85,2018-05-12,"Ye vs The People","Kanye West Featuring T.I.","Ye vs The PeopleKanye West Featuring T.I."
98,2018-05-19,"Preach","YoungBoy Never Broke Again","PreachYoungBoy Never Broke Again"
86,2018-06-02,"Champion","NAV Featuring Travis Scott","ChampionNAV Featuring Travis Scott"
68,2018-06-02,"Change Lanes","Kevin Gates","Change LanesKevin Gates"
82,2018-06-02,"Let It Sing","Kevin Gates","Let It SingKevin Gates"
73,2018-06-02,"Like That","Kris Wu","Like ThatKris Wu"
83,2018-06-02,"Sangria Wine","Pharrell Williams x Camila Cabello","Sangria WinePharrell Williams x Camila Cabello"
79,2018-06-02,"Southside","Lil Baby","SouthsideLil Baby"
80,2018-06-09,"Dinero","Jennifer Lopez Featuring DJ Khaled & Cardi B","DineroJennifer Lopez Featuring DJ Khaled & Cardi B"
73,2018-06-09,"If You Know You Know","Pusha T","If You Know You KnowPusha T"
65,2018-06-09,"Infrared","Pusha T","InfraredPusha T"
100,2018-06-09,"The Games We Play","Pusha T","The Games We PlayPusha T"
75,2018-06-09,"What Would Meek Do?","Pusha T Featuring Kanye West","What Would Meek Do?Pusha T Featuring Kanye West"
85,2018-06-16,"Humility","Gorillaz Featuring George Benson","HumilityGorillaz Featuring George Benson"
28,2018-06-16,"I Thought About Killing You","Kanye West","I Thought About Killing YouKanye West"
81,2018-06-16,"Must've Never Met You","Luke Combs","Must've Never Met YouLuke Combs"
36,2018-06-16,"No Mistakes","Kanye West","No MistakesKanye West"
42,2018-06-23,"4th Dimension","KIDS SEE GHOSTS Featuring Louis Prima","4th DimensionKIDS SEE GHOSTS Featuring Louis Prima"
69,2018-06-23,"Cudi Montage","KIDS SEE GHOSTS","Cudi MontageKIDS SEE GHOSTS"
47,2018-06-23,"Feel The Love","KIDS SEE GHOSTS","Feel The LoveKIDS SEE GHOSTS"
67,2018-06-23,"Fire","KIDS SEE GHOSTS","FireKIDS SEE GHOSTS"
62,2018-06-23,"Freeee (Ghost Town, Pt. 2)","KIDS SEE GHOSTS","Freeee (Ghost Town, Pt. 2)KIDS SEE GHOSTS"
73,2018-06-23,"KIDS SEE GHOSTS","KIDS SEE GHOSTS","KIDS SEE GHOSTSKIDS SEE GHOSTS"
96,2018-06-30,"Cop Shot The Kid","Nas Featuring Kanye West","Cop Shot The KidNas Featuring Kanye West"
55,2018-06-30,"DDU-DU DDU-DU","BLACKPINK","DDU-DU DDU-DUBLACKPINK"
99,2018-06-30,"Friends","The Carters","FriendsThe Carters"
95,2018-06-30,"Nice","The Carters","NiceThe Carters"
84,2018-06-30,"Summer","The Carters","SummerThe Carters"
56,2018-07-14,"Final Fantasy","Drake","Final FantasyDrake"
57,2018-07-14,"March 14","Drake","March 14Drake"
51,2018-07-14,"Ratchet Happy Birthday","Drake","Ratchet Happy BirthdayDrake"
71,2018-07-21,"Cuddle My Wrist","Future","Cuddle My WristFuture"
83,2018-07-21,"Drug Addicts","Lil Pump","Drug AddictsLil Pump"
